SEASON,RK,NAME,TEAM,SALARY
2007-2008,91,"Darko Milicic, C",Memphis Grizzlies,6500000
2007-2008,99,"Jason Collins, C",Memphis Grizzlies,6100000
2007-2008,105,"Brian Cardinal, PF",Memphis Grizzlies,5850000
2007-2008,107,"Stromile Swift, PF",Memphis Grizzlies,5800000
2007-2008,178,"Mike Conley, PG",Memphis Grizzlies,3377160
2007-2008,227,"Rudy Gay, SF",Memphis Grizzlies,2411160
2007-2008,294,"Hakim Warrick, PF",Memphis Grizzlies,1376040
2007-2008,298,"Javaris Crittenton, PG",Memphis Grizzlies,1285200
2007-2008,320,"Kyle Lowry, PG",Memphis Grizzlies,1087680
2007-2008,378,"Juan Carlos Navarro, PG",Memphis Grizzlies,538090
2007-2008,390,"Damon Stoudamire, PG",Memphis Grizzlies,335442
2007-2008,394,"Jeremy Richardson, SG",Memphis Grizzlies,238588
2007-2008,415,"Bobby Jones, SF",Memphis Grizzlies,24263
2008-2009,97,"Darko Milicic, C",Memphis Grizzlies,7020000
2008-2009,103,"Marko Jaric, PG",Memphis Grizzlies,6575000
2008-2009,171,"Greg Buckner, SG",Memphis Grizzlies,4010005
2008-2009,177,"O.J. Mayo, SG",Memphis Grizzlies,3875040
2008-2009,178,"Steven Hunter, C",Memphis Grizzlies,3862600
2008-2009,187,"Mike Conley, PG",Memphis Grizzlies,3630480
2008-2009,210,"Marc Gasol, C",Memphis Grizzlies,3093333
2008-2009,229,"Rudy Gay, SF",Memphis Grizzlies,2579400
2008-2009,249,"Hakim Warrick, PF",Memphis Grizzlies,2119102
2008-2009,291,"Hamed Haddadi, C",Memphis Grizzlies,1572221
2008-2009,302,"Javaris Crittenton, PG",Memphis Grizzlies,1381560
2008-2009,323,"Kyle Lowry, PG",Memphis Grizzlies,1163520
2008-2009,338,"Darrell Arthur, PF",Memphis Grizzlies,977160
2008-2009,393,"Darius Miles, SF",Memphis Grizzlies,450399
2009-2010,18,"Zach Randolph, PF",Memphis Grizzlies,1.6e+07
2009-2010,157,"Hasheem Thabeet, C",Memphis Grizzlies,4458840
2009-2010,163,"O.J. Mayo, SG",Memphis Grizzlies,4165560
2009-2010,167,"Greg Buckner, SG",Memphis Grizzlies,4080915
2009-2010,177,"Mike Conley, PG",Memphis Grizzlies,3883800
2009-2010,182,"Steven Hunter, C",Memphis Grizzlies,3696000
2009-2010,197,"Marc Gasol, C",Memphis Grizzlies,3333333
2009-2010,199,"Rudy Gay, SF",Memphis Grizzlies,3280997
2009-2010,222,"Ronnie Brewer, SF",Memphis Grizzlies,2717161
2009-2010,224,"Brandan Wright, PF",Memphis Grizzlies,2671440
2009-2010,282,"Hamed Haddadi, C",Memphis Grizzlies,1627779
2009-2010,322,"Darrell Arthur, PF",Memphis Grizzlies,1050480
2009-2010,331,"DeMarre Carroll, SF",Memphis Grizzlies,1009680
2009-2010,356,"Marcus Williams, PG",Memphis Grizzlies,825497
2009-2010,364,"Sam Young, SF",Memphis Grizzlies,824200
2009-2010,368,"Jamaal Tinsley, PG",Memphis Grizzlies,738091
2009-2010,381,"Allen Iverson, SG",Memphis Grizzlies,650686
2009-2010,387,"Derrick Byars, SF",Memphis Grizzlies,457588
2009-2010,393,"Trey Gilder, SF",Memphis Grizzlies,457588
2009-2010,425,"Tony Gaffney, SF",Memphis Grizzlies,2692
2010-2011,10,"Zach Randolph, PF",Memphis Grizzlies,17666666
2010-2011,29,"Rudy Gay, SF",Memphis Grizzlies,13603750
2010-2011,86,"Shane Battier, SF",Memphis Grizzlies,7354500
2010-2011,141,"Mike Conley, PG",Memphis Grizzlies,4913077
2010-2011,146,"Hasheem Thabeet, C",Memphis Grizzlies,4793280
2010-2011,151,"O.J. Mayo, SG",Memphis Grizzlies,4456200
2010-2011,166,"Greg Buckner, SG",Memphis Grizzlies,4080915
2010-2011,184,"Marc Gasol, C",Memphis Grizzlies,3573333
2010-2011,209,"Tony Allen, SG",Memphis Grizzlies,3e+06
2010-2011,256,"Xavier Henry, SG",Memphis Grizzlies,2020200
2010-2011,283,"Hamed Haddadi, C",Memphis Grizzlies,1600000
2010-2011,306,"Elliot Williams, SG",Memphis Grizzlies,1254720
2010-2011,318,"Darrell Arthur, PF",Memphis Grizzlies,1123680
2010-2011,323,"DeMarre Carroll, SF",Memphis Grizzlies,1085400
2010-2011,329,"Greivis Vasquez, PG",Memphis Grizzlies,1035960
2010-2011,344,"Sam Young, SF",Memphis Grizzlies,886000
2010-2011,356,"Darius Miles, SF",Memphis Grizzlies,854389
2010-2011,375,"Tony Gaffney, SF",Memphis Grizzlies,762195
2010-2011,397,"Acie Law, PG",Memphis Grizzlies,633253
2010-2011,401,"Jason Williams, PG",Memphis Grizzlies,524964
2010-2011,407,"Ish Smith, PG",Memphis Grizzlies,473604
2010-2011,416,"Derrick Byars, SF",Memphis Grizzlies,457588
2010-2011,431,"Leon Powe, PF",Memphis Grizzlies,201033
2011-2012,20,"Zach Randolph, PF",Memphis Grizzlies,15200000
2011-2012,22,"Rudy Gay, SF",Memphis Grizzlies,15032144
2011-2012,33,"Marc Gasol, C",Memphis Grizzlies,12922194
2011-2012,101,"Mike Conley, PG",Memphis Grizzlies,6611571
2011-2012,120,"O.J. Mayo, SG",Memphis Grizzlies,5632637
2011-2012,167,"Greg Buckner, SG",Memphis Grizzlies,4080915
2011-2012,206,"Tony Allen, SG",Memphis Grizzlies,3150000
2011-2012,232,"Marreese Speights, C",Memphis Grizzlies,2721255
2011-2012,278,"Dante Cunningham, PF",Memphis Grizzlies,2e+06
2011-2012,322,"Hamed Haddadi, C",Memphis Grizzlies,1300000
2011-2012,333,"Sam Young, SF",Memphis Grizzlies,1184750
2011-2012,337,"Quincy Pondexter, SF",Memphis Grizzlies,1153800
2011-2012,359,"Jeremy Pargo, PG",Memphis Grizzlies,1e+06
2011-2012,380,"Josh Davis, SF",Memphis Grizzlies,854389
2011-2012,382,"Darius Miles, SF",Memphis Grizzlies,854389
2011-2012,415,"Tony Gaffney, SF",Memphis Grizzlies,762195
2011-2012,433,"Brian Skinner, PF",Memphis Grizzlies,668434
2011-2012,437,"Josh Selby, PG",Memphis Grizzlies,550000
2011-2012,467,"Gilbert Arenas, PG",Memphis Grizzlies,261829
2011-2012,480,"Leon Powe, PF",Memphis Grizzlies,201033
2011-2012,499,"Lester Hudson, SG",Memphis Grizzlies,48232
2012-2013,16,"Zach Randolph, PF",Memphis Grizzlies,16500000
2012-2013,17,"Rudy Gay, SF",Memphis Grizzlies,16460538
2012-2013,24,"Marc Gasol, C",Memphis Grizzlies,13891359
2012-2013,89,"Mike Conley, PG",Memphis Grizzlies,7505786
2012-2013,95,"Tayshaun Prince, SF",Memphis Grizzlies,6764045
2012-2013,161,"Marreese Speights, C",Memphis Grizzlies,4200000
2012-2013,165,"Greg Buckner, SG",Memphis Grizzlies,4080915
2012-2013,195,"Tony Allen, SG",Memphis Grizzlies,3300000
2012-2013,213,"Darrell Arthur, PF",Memphis Grizzlies,3006217
2012-2013,217,"Austin Daye, SF",Memphis Grizzlies,2958077
2012-2013,262,"Ed Davis, C",Memphis Grizzlies,2207040
2012-2013,271,"Wayne Ellington, SG",Memphis Grizzlies,2083042
2012-2013,291,"Donte Greene, SF",Memphis Grizzlies,1679914
2012-2013,329,"Hamed Haddadi, C",Memphis Grizzlies,1300000
2012-2013,334,"Quincy Pondexter, SF",Memphis Grizzlies,1234320
2012-2013,349,"Tony Wroten, SG",Memphis Grizzlies,1110120
2012-2013,393,"Kyle Weaver, SG",Memphis Grizzlies,854389
2012-2013,396,"Darius Miles, SF",Memphis Grizzlies,854389
2012-2013,433,"Jon Leuer, PF",Memphis Grizzlies,762195
2012-2013,450,"Brian Skinner, PF",Memphis Grizzlies,668434
2012-2013,490,"Gilbert Arenas, PG",Memphis Grizzlies,261829
2012-2013,500,"Leon Powe, PF",Memphis Grizzlies,201033
2012-2013,515,"Keyon Dooling, PG",Memphis Grizzlies,75387
2012-2013,521,"Chris Johnson, SF",Memphis Grizzlies,55718
2013-2014,13,"Zach Randolph, PF",Memphis Grizzlies,18238333
2013-2014,21,"Marc Gasol, C",Memphis Grizzlies,14860523
2013-2014,65,"Mike Conley, PG",Memphis Grizzlies,8600001
2013-2014,86,"Tayshaun Prince, SF",Memphis Grizzlies,7235955
2013-2014,111,"Courtney Lee, SG",Memphis Grizzlies,5225000
2013-2014,132,"Tony Allen, SG",Memphis Grizzlies,4494383
2013-2014,182,"Ed Davis, C",Memphis Grizzlies,3153860
2013-2014,184,"Jerryd Bayless, PG",Memphis Grizzlies,3135000
2013-2014,190,"Kosta Koufos, C",Memphis Grizzlies,3e+06
2013-2014,217,"Quincy Pondexter, SF",Memphis Grizzlies,2225479
2013-2014,311,"Jon Leuer, PF",Memphis Grizzlies,9e+05
2013-2014,338,"James Johnson, PF",Memphis Grizzlies,634610
2013-2014,343,"Jamaal Franklin, SG",Memphis Grizzlies,535000
2013-2014,351,"Nick Calathes, SG",Memphis Grizzlies,490180
2014-2015,13,"Zach Randolph, PF",Memphis Grizzlies,16500000
2014-2015,16,"Marc Gasol, C",Memphis Grizzlies,15829688
2014-2015,62,"Jeff Green, SF",Memphis Grizzlies,9200000
2014-2015,65,"Mike Conley, PG",Memphis Grizzlies,8694216
2014-2015,77,"Tayshaun Prince, SF",Memphis Grizzlies,7707865
2014-2015,115,"Courtney Lee, SG",Memphis Grizzlies,5450000
2014-2015,135,"Tony Allen, SG",Memphis Grizzlies,4831461
2014-2015,161,"Vince Carter, SG",Memphis Grizzlies,3911981
2014-2015,196,"Quincy Pondexter, SF",Memphis Grizzlies,3146068
2014-2015,203,"Kosta Koufos, C",Memphis Grizzlies,3e+06
2014-2015,245,"Beno Udrih, PG",Memphis Grizzlies,2077000
2014-2015,299,"Jordan Adams, SG",Memphis Grizzlies,1344120
2014-2015,341,"Jon Leuer, PF",Memphis Grizzlies,967500
2014-2015,371,"Nick Calathes, SG",Memphis Grizzlies,816482
2014-2015,378,"Jarnell Stokes, PF",Memphis Grizzlies,725000
2014-2015,389,"Russ Smith, PG",Memphis Grizzlies,507336
2014-2015,394,"Kalin Lucas, PG",Memphis Grizzlies,486446
2014-2015,417,"JaMychal Green, PF",Memphis Grizzlies,134295
2014-2015,426,"Tyrus Thomas, PF",Memphis Grizzlies,53838
2015-2016,12,"Marc Gasol, C",Memphis Grizzlies,19688000
2015-2016,70,"Zach Randolph, PF",Memphis Grizzlies,9638555
2015-2016,71,"Mike Conley, PG",Memphis Grizzlies,9588426
2015-2016,74,"Jeff Green, SF",Memphis Grizzlies,9450000
2015-2016,76,"Lance Stephenson, SF",Memphis Grizzlies,9e+06
2015-2016,129,"Brandan Wright, PF",Memphis Grizzlies,5464000
2015-2016,135,"Tony Allen, SG",Memphis Grizzlies,5158539
2015-2016,142,"Chris Andersen, PF",Memphis Grizzlies,5e+06
2015-2016,156,"Mario Chalmers, PG",Memphis Grizzlies,4300000
2015-2016,163,"Vince Carter, SG",Memphis Grizzlies,4088019
2015-2016,181,"Matt Barnes, SF",Memphis Grizzlies,3542500
2015-2016,247,"Beno Udrih, PG",Memphis Grizzlies,2170465
2015-2016,296,"Jordan Adams, SG",Memphis Grizzlies,1404600
2015-2016,312,"Jarell Martin, PF",Memphis Grizzlies,1230840
2015-2016,373,"James Ennis, SF",Memphis Grizzlies,845059
2015-2016,374,"Russ Smith, PG",Memphis Grizzlies,845059
2015-2016,375,"JaMychal Green, PF",Memphis Grizzlies,845059
2015-2016,376,"Jarnell Stokes, PF",Memphis Grizzlies,845059
2015-2016,391,"Jarrid Famous, PF",Memphis Grizzlies,525093
2015-2016,404,"Ryan Hollins, C",Memphis Grizzlies,239605
2015-2016,412,"Elliot Williams, SG",Memphis Grizzlies,55722
1999-2000,3,"Alonzo Mourning, C",Miami Heat,15004000
1999-2000,33,"Jamal Mashburn, SF",Miami Heat,5600000
1999-2000,40,"P.J. Brown, PF",Miami Heat,5124000
1999-2000,141,"Tim James, F",Miami Heat,728000
2000-2001,3,"Alonzo Mourning, C",Miami Heat,16879000
2000-2001,14,"Tim Hardaway, G",Miami Heat,1.2e+07
2000-2001,37,"Eddie Jones, SG",Miami Heat,8960000
2000-2001,38,"Brian Grant, PF",Miami Heat,8897000
2000-2001,71,"Anthony Mason, F",Miami Heat,5553000
2000-2001,101,"Duane Causwell, C",Miami Heat,4e+06
2000-2001,104,"Dan Majerle, G",Miami Heat,4e+06
2000-2001,106,"Cedric Ceballos, F",Miami Heat,3937000
2000-2001,168,"A.C. Green, F",Miami Heat,2250000
2000-2001,233,"Anthony Carter, PG",Miami Heat,1200000
2000-2001,251,"Ricky Davis, SG",Miami Heat,939000
2000-2001,262,"Don MacLean, F",Miami Heat,798000
2000-2001,272,"Bruce Bowen, SF",Miami Heat,733000
2000-2001,307,"Eddie House, SG",Miami Heat,316000
2001-2002,3,"Alonzo Mourning, C",Miami Heat,18756000
2001-2002,26,"Eddie Jones, SG",Miami Heat,10080000
2001-2002,27,"Brian Grant, PF",Miami Heat,10009000
2001-2002,136,"Anthony Carter, PG",Miami Heat,3250000
2001-2002,147,"LaPhonso Ellis, F",Miami Heat,3e+06
2001-2002,165,"Chris Gatling, C",Miami Heat,2504000
2001-2002,314,"Sean Marks, PF",Miami Heat,566000
2001-2002,315,"Vladimir Stepania, C",Miami Heat,566000
2001-2002,330,"Jim Jackson, SF",Miami Heat,480000
2001-2002,337,"Eddie House, SG",Miami Heat,465000
2001-2002,355,"Ernest Brown, C",Miami Heat,333000
2001-2002,363,"Mike James, PG",Miami Heat,237000
2002-2003,23,"Eddie Jones, SG",Miami Heat,11200000
2002-2003,24,"Brian Grant, PF",Miami Heat,11121000
2002-2003,123,"Anthony Carter, PG",Miami Heat,3656000
2002-2003,131,"LaPhonso Ellis, F",Miami Heat,3300000
2002-2003,250,"Vladimir Stepania, C",Miami Heat,637000
2003-2004,17,"Eddie Jones, SG",Miami Heat,12320000
2003-2004,18,"Brian Grant, PF",Miami Heat,12234000
2003-2004,80,"Lamar Odom, PF",Miami Heat,4692000
2003-2004,113,"Bimbo Coles, PG",Miami Heat,2925000
2004-2005,1,"Shaquille O'Neal, C",Miami Heat,29464000
2004-2005,13,"Eddie Jones, SG",Miami Heat,13440000
2004-2005,39,"Christian Laettner, PF",Miami Heat,6078000
2004-2005,76,"Keyon Dooling, PG",Miami Heat,3073000
2005-2006,1,"Shaquille O'Neal, C",Miami Heat,2e+07
2005-2006,63,"Jason Williams, PG",Miami Heat,7562500
2005-2006,82,"Antoine Walker, PF",Miami Heat,6884000
2005-2006,119,"Udonis Haslem, PF",Miami Heat,5e+06
2005-2006,178,"Dwyane Wade, SG",Miami Heat,3031920
2005-2006,199,"Michael Doleac, C",Miami Heat,2640000
2005-2006,253,"Derek Anderson, SG",Miami Heat,1670000
2005-2006,279,"Dorell Wright, SF",Miami Heat,1238640
2005-2006,287,"Alonzo Mourning, C",Miami Heat,1138500
2005-2006,294,"Jason Kapono, SG",Miami Heat,1100000
2005-2006,330,"Wayne Simien, PF",Miami Heat,867720
2006-2007,2,"Shaquille O'Neal, C",Miami Heat,2e+07
2006-2007,57,"Jason Williams, PG",Miami Heat,8250000
2006-2007,71,"Antoine Walker, PF",Miami Heat,7606820
2006-2007,92,"James Posey, SF",Miami Heat,6392100
2006-2007,110,"Udonis Haslem, PF",Miami Heat,5525000
2006-2007,155,"Dwyane Wade, SG",Miami Heat,3841443
2006-2007,195,"Michael Doleac, C",Miami Heat,2880000
2006-2007,296,"Dorell Wright, SF",Miami Heat,1325160
2006-2007,304,"Jason Kapono, SG",Miami Heat,1188000
2006-2007,335,"Wayne Simien, PF",Miami Heat,932760
2006-2007,361,"Earl Barron, C",Miami Heat,744551
2006-2007,381,"Josh McRoberts, PF",Miami Heat,427163
2006-2007,387,"Robert Hite, SG",Miami Heat,412718
2006-2007,392,"Chris Quinn, PG",Miami Heat,412718
2007-2008,61,"Jason Williams, PG",Miami Heat,8937500
2007-2008,78,"Mark Blount, C",Miami Heat,7901040
2007-2008,86,"Ricky Davis, SG",Miami Heat,6819000
2007-2008,102,"Udonis Haslem, PF",Miami Heat,6050000
2007-2008,207,"Alonzo Mourning, C",Miami Heat,2762500
2007-2008,246,"Dorell Wright, SF",Miami Heat,2040746
2007-2008,310,"Daequan Cook, SG",Miami Heat,1184400
2007-2008,330,"Wayne Simien, PF",Miami Heat,997800
2007-2008,333,"Earl Barron, C",Miami Heat,973328
2007-2008,401,"Smush Parker, PG",Miami Heat,181320
2007-2008,409,"Blake Ahearn, PG",Miami Heat,67844
2007-2008,410,"Stephane Lasme, PF",Miami Heat,67844
2007-2008,413,"Kasib Powell, SF",Miami Heat,36395
2008-2009,26,"Dwyane Wade, SG",Miami Heat,14410581
2008-2009,83,"Mark Blount, C",Miami Heat,8513916
2008-2009,104,"Udonis Haslem, PF",Miami Heat,6575000
2008-2009,163,"Michael Beasley, SF",Miami Heat,4314960
2008-2009,172,"James Jones, SG",Miami Heat,4010000
2008-2009,228,"Dorell Wright, SF",Miami Heat,2612835
2008-2009,263,"Luther Head, PG",Miami Heat,1962378
2008-2009,310,"Daequan Cook, SG",Miami Heat,1273200
2008-2009,340,"Chris Quinn, PG",Miami Heat,972581
2008-2009,345,"Yakhouba Diawara, SG",Miami Heat,875000
2008-2009,360,"Luke Jackson, SF",Miami Heat,797581
2008-2009,365,"Jamaal Magloire, C",Miami Heat,797581
2008-2009,378,"Joel Anthony, C",Miami Heat,711517
2008-2009,381,"Mario Chalmers, PG",Miami Heat,7e+05
2009-2010,2,"Jermaine O'Neal, C",Miami Heat,23016000
2009-2010,20,"Dwyane Wade, SG",Miami Heat,15779912
2009-2010,79,"Quentin Richardson, SF",Miami Heat,8700000
2009-2010,85,"Mark Blount, C",Miami Heat,7967375
2009-2010,94,"Udonis Haslem, PF",Miami Heat,7100000
2009-2010,151,"Michael Beasley, SF",Miami Heat,4638600
2009-2010,160,"James Jones, SG",Miami Heat,4330000
2009-2010,214,"Dorell Wright, SF",Miami Heat,2887165
2009-2010,300,"Daequan Cook, SG",Miami Heat,1362120
2009-2010,339,"Yakhouba Diawara, SG",Miami Heat,945000
2009-2010,358,"Jamaal Magloire, C",Miami Heat,825497
2009-2010,366,"Mario Chalmers, PG",Miami Heat,756000
2009-2010,420,"Alexander Johnson, SF",Miami Heat,29135
2010-2011,21,"Chris Bosh, PF",Miami Heat,14500000
2010-2011,22,"LeBron James, SF",Miami Heat,14500000
2010-2011,25,"Dwyane Wade, SG",Miami Heat,14200000
2010-2011,44,"Eddy Curry, C",Miami Heat,11530592
2010-2011,81,"Mark Blount, C",Miami Heat,7967375
2010-2011,103,"Greg Oden, C",Miami Heat,6760524
2010-2011,188,"Udonis Haslem, PF",Miami Heat,3500000
2010-2011,194,"Joel Anthony, C",Miami Heat,3300000
2010-2011,300,"Zydrunas Ilgauskas, C",Miami Heat,1352181
2010-2011,301,"Eddie House, SG",Miami Heat,1352181
2010-2011,317,"James Jones, SG",Miami Heat,1146337
2010-2011,347,"Alexander Johnson, SF",Miami Heat,885120
2010-2011,354,"Juwan Howard, PF",Miami Heat,854389
2010-2011,355,"Mario Chalmers, PG",Miami Heat,854389
2010-2011,358,"Luke Jackson, SF",Miami Heat,854389
2010-2011,390,"Erick Dampier, C",Miami Heat,713666
2010-2011,415,"Dexter Pittman, C",Miami Heat,473604
2010-2011,432,"Carlos Arroyo, PG",Miami Heat,196007
2011-2012,13,"Chris Bosh, PF",Miami Heat,17545000
2011-2012,14,"LeBron James, SF",Miami Heat,17545000
2011-2012,17,"Dwyane Wade, SG",Miami Heat,15691000
2011-2012,76,"Mark Blount, C",Miami Heat,7967375
2011-2012,126,"Mike Miller, SG",Miami Heat,5400000
2011-2012,168,"Udonis Haslem, PF",Miami Heat,4060000
2011-2012,173,"Mario Chalmers, PG",Miami Heat,4e+06
2011-2012,184,"Joel Anthony, C",Miami Heat,3700000
2011-2012,208,"Shane Battier, SF",Miami Heat,3135000
2011-2012,303,"Greg Oden, C",Miami Heat,1500000
2011-2012,306,"James Jones, SG",Miami Heat,1500000
2011-2012,314,"Zydrunas Ilgauskas, C",Miami Heat,1399507
2011-2012,315,"Eddie House, SG",Miami Heat,1399507
2011-2012,347,"Norris Cole, PG",Miami Heat,1082520
2011-2012,366,"Alexander Johnson, SF",Miami Heat,885120
2011-2012,379,"Luke Jackson, SF",Miami Heat,854389
2011-2012,425,"Dexter Pittman, C",Miami Heat,762195
2011-2012,487,"Mickell Gladness, C",Miami Heat,137498
2012-2013,7,"Chris Bosh, PF",Miami Heat,19067500
2012-2013,8,"LeBron James, SF",Miami Heat,19067500
2012-2013,9,"Dwyane Wade, SG",Miami Heat,18673000
2012-2013,81,"Mark Blount, C",Miami Heat,7967375
2012-2013,107,"Mike Miller, SG",Miami Heat,6200000
2012-2013,154,"Udonis Haslem, PF",Miami Heat,4340000
2012-2013,169,"Mario Chalmers, PG",Miami Heat,4e+06
2012-2013,178,"Joel Anthony, C",Miami Heat,3800000
2012-2013,196,"Shane Battier, SF",Miami Heat,3270000
2012-2013,200,"Ray Allen, SG",Miami Heat,3229050
2012-2013,292,"Chris Andersen, PF",Miami Heat,1679408
2012-2013,307,"James Jones, SG",Miami Heat,1500000
2012-2013,317,"Zydrunas Ilgauskas, C",Miami Heat,1399507
2012-2013,318,"Eddie House, SG",Miami Heat,1399507
2012-2013,320,"Rashard Lewis, PF",Miami Heat,1399507
2012-2013,345,"Norris Cole, PG",Miami Heat,1129200
2012-2013,376,"Henry Walker, SF",Miami Heat,885120
2012-2013,509,"Juwan Howard, PF",Miami Heat,135697
2012-2013,512,"Terrel Harris, SG",Miami Heat,94154
2012-2013,519,"Josh Harrellson, C",Miami Heat,61467
2013-2014,8,"Chris Bosh, PF",Miami Heat,19067500
2013-2014,9,"LeBron James, SF",Miami Heat,19067500
2013-2014,10,"Dwyane Wade, SG",Miami Heat,18673000
2013-2014,136,"Udonis Haslem, PF",Miami Heat,4340000
2013-2014,144,"Mario Chalmers, PG",Miami Heat,4e+06
2013-2014,151,"Joel Anthony, C",Miami Heat,3800000
2013-2014,167,"Shane Battier, SF",Miami Heat,3270000
2013-2014,174,"Ray Allen, SG",Miami Heat,3229050
2013-2014,250,"Toney Douglas, PG",Miami Heat,1600000
2013-2014,258,"James Jones, SG",Miami Heat,1500000
2013-2014,267,"Chris Andersen, PF",Miami Heat,1399507
2013-2014,268,"Rashard Lewis, PF",Miami Heat,1399507
2013-2014,289,"Norris Cole, PG",Miami Heat,1129200
2014-2015,5,"Chris Bosh, PF",Miami Heat,20644400
2014-2015,21,"Dwyane Wade, SG",Miami Heat,1.5e+07
2014-2015,56,"Luol Deng, SF",Miami Heat,9714461
2014-2015,120,"Chris Andersen, PF",Miami Heat,5375000
2014-2015,122,"Josh McRoberts, PF",Miami Heat,5305000
2014-2015,157,"Mario Chalmers, PG",Miami Heat,4e+06
2014-2015,219,"Udonis Haslem, PF",Miami Heat,2732000
2014-2015,252,"Norris Cole, PG",Miami Heat,2038206
2014-2015,310,"Shabazz Napier, PG",Miami Heat,1238640
2014-2015,312,"Shawne Williams, SF",Miami Heat,1227985
2014-2015,376,"Hassan Whiteside, C",Miami Heat,769881
2014-2015,388,"James Ennis, SF",Miami Heat,507336
2014-2015,410,"Tyler Johnson, SG",Miami Heat,199950
2014-2015,411,"Henry Walker, SF",Miami Heat,196217
2014-2015,412,"Michael Beasley, SF",Miami Heat,195440
2014-2015,431,"Andre Dawkins, SG",Miami Heat,29843
2015-2016,5,"Chris Bosh, PF",Miami Heat,22192730
2015-2016,9,"Dwyane Wade, SG",Miami Heat,2e+07
2015-2016,30,"Goran Dragic, PG",Miami Heat,14783000
2015-2016,65,"Luol Deng, SF",Miami Heat,10151612
2015-2016,125,"Josh McRoberts, PF",Miami Heat,5543725
2015-2016,212,"Udonis Haslem, PF",Miami Heat,2854940
2015-2016,234,"Justise Winslow, SF",Miami Heat,2481720
2015-2016,333,"Henry Walker, SF",Miami Heat,1100602
2015-2016,369,"Tyler Johnson, SG",Miami Heat,845059
2015-2016,384,"Greg Whittington, SF",Miami Heat,525093
2015-2016,385,"Josh Richardson, SG",Miami Heat,525093
2010-2011,380,"Oliver Lafayette, G",Milan Olimpia,762195
1999-2000,13,"Ray Allen, SG",Milwaukee Bucks,9e+06
1999-2000,23,"Glenn Robinson, SF",Milwaukee Bucks,7250000
1999-2000,63,"Scott Williams, C",Milwaukee Bucks,3750000
1999-2000,64,"Sam Cassell, PG",Milwaukee Bucks,3500000
1999-2000,76,"Ervin Johnson, C",Milwaukee Bucks,2951000
1999-2000,97,"Robert Traylor, PF",Milwaukee Bucks,2059000
1999-2000,106,"Vinny Del Negro, G",Milwaukee Bucks,1925000
1999-2000,144,"Rafer Alston, PG",Milwaukee Bucks,301000
2000-2001,25,"Ray Allen, SG",Milwaukee Bucks,10125000
2000-2001,39,"Tim Thomas, PF",Milwaukee Bucks,8507000
2000-2001,44,"Glenn Robinson, SF",Milwaukee Bucks,8120000
2000-2001,94,"Jason Caffey, F",Milwaukee Bucks,4375000
2000-2001,100,"Scott Williams, C",Milwaukee Bucks,4200000
2000-2001,123,"Sam Cassell, PG",Milwaukee Bucks,3500000
2000-2001,128,"Ervin Johnson, C",Milwaukee Bucks,3310000
2000-2001,159,"Lindsey Hunter, SG",Milwaukee Bucks,2650000
2000-2001,204,"Darvin Ham, SF",Milwaukee Bucks,1700000
2000-2001,207,"Joel Przybilla, C",Milwaukee Bucks,1619000
2000-2001,294,"Mark Pope, C",Milwaukee Bucks,498000
2000-2001,299,"Rafer Alston, PG",Milwaukee Bucks,423000
2000-2001,310,"Michael Redd, SG",Milwaukee Bucks,316000
2001-2002,15,"Ray Allen, SG",Milwaukee Bucks,11250000
2001-2002,29,"Tim Thomas, PF",Milwaukee Bucks,9675000
2001-2002,34,"Glenn Robinson, SF",Milwaukee Bucks,8990000
2001-2002,83,"Jason Caffey, F",Milwaukee Bucks,4812000
2001-2002,91,"Anthony Mason, F",Milwaukee Bucks,4538000
2001-2002,110,"Sam Cassell, PG",Milwaukee Bucks,4e+06
2001-2002,111,"Greg Anthony, G",Milwaukee Bucks,3940000
2001-2002,122,"Ervin Johnson, C",Milwaukee Bucks,3670000
2001-2002,206,"Greg Foster, C",Milwaukee Bucks,1924000
2001-2002,211,"Darvin Ham, SF",Milwaukee Bucks,1760000
2001-2002,213,"Joel Przybilla, C",Milwaukee Bucks,1741000
2001-2002,299,"Rafer Alston, PG",Milwaukee Bucks,625000
2002-2003,27,"Tim Thomas, PF",Milwaukee Bucks,10750000
2002-2003,41,"Toni Kukoc, SF",Milwaukee Bucks,8050000
2002-2003,76,"Jason Caffey, F",Milwaukee Bucks,5250000
2002-2003,84,"Anthony Mason, F",Milwaukee Bucks,4992000
2002-2003,104,"Sam Cassell, PG",Milwaukee Bucks,4500000
2002-2003,113,"Ervin Johnson, C",Milwaukee Bucks,4030000
2002-2003,188,"Joel Przybilla, C",Milwaukee Bucks,1862000
2003-2004,32,"Toni Kukoc, SF",Milwaukee Bucks,8050000
2003-2004,63,"Joe Smith, PF",Milwaukee Bucks,5445000
2003-2004,130,"Joel Przybilla, C",Milwaukee Bucks,2373000
2003-2004,146,"Desmond Mason, SF",Milwaukee Bucks,1898000
2004-2005,43,"Calvin Booth, C",Milwaukee Bucks,5900000
2004-2005,44,"Joe Smith, PF",Milwaukee Bucks,5899000
2004-2005,58,"Marcus Fizer, F",Milwaukee Bucks,4915000
2004-2005,86,"Desmond Mason, SF",Milwaukee Bucks,2680000
2005-2006,23,"Michael Redd, SG",Milwaukee Bucks,1.2e+07
2005-2006,51,"Jamaal Magloire, C",Milwaukee Bucks,8333334
2005-2006,57,"Bobby Simmons, SF",Milwaukee Bucks,8e+06
