SEASON,RK,NAME,TEAM,SALARY
2011-2012,121,"Nenad Krstic, C",Bilbao Basket Bilbao Basket,5543116
1999-2000,14,"Antoine Walker, PF",Boston Celtics,9e+06
1999-2000,30,"Kenny Anderson, PG",Boston Celtics,6680000
1999-2000,60,"Vitaly Potapenko, C",Boston Celtics,3810000
1999-2000,67,"Eric Williams, PF",Boston Celtics,3336000
1999-2000,87,"Walter McCarty, PF",Boston Celtics,2500000
1999-2000,115,"Paul Pierce, SF",Boston Celtics,1503000
2000-2001,27,"Antoine Walker, PF",Boston Celtics,10125000
2000-2001,53,"Kenny Anderson, PG",Boston Celtics,7520000
2000-2001,68,"Bryant Stith, G",Boston Celtics,5620000
2000-2001,97,"Vitaly Potapenko, C",Boston Celtics,4286000
2000-2001,111,"Eric Williams, PF",Boston Celtics,3892000
2000-2001,133,"Tony Battie, C",Boston Celtics,3200000
2000-2001,152,"Walter McCarty, PF",Boston Celtics,2812000
2000-2001,170,"Randy Brown, G",Boston Celtics,2250000
2000-2001,208,"Paul Pierce, SF",Boston Celtics,1608000
2000-2001,215,"Jerome Moiso, C",Boston Celtics,1461000
2000-2001,297,"Adrian Griffin, SG",Boston Celtics,498000
2000-2001,301,"Mark Blount, C",Boston Celtics,423000
2000-2001,303,"Chris Herren, G",Boston Celtics,423000
2000-2001,306,"Milt Palacio, PG",Boston Celtics,326000
2001-2002,17,"Antoine Walker, PF",Boston Celtics,11250000
2001-2002,39,"Kenny Anderson, PG",Boston Celtics,8350000
2001-2002,85,"Vitaly Potapenko, C",Boston Celtics,4762000
2001-2002,95,"Eric Williams, PF",Boston Celtics,4448000
2001-2002,125,"Tony Battie, C",Boston Celtics,3600000
2001-2002,141,"Walter McCarty, PF",Boston Celtics,3125000
2001-2002,170,"Randy Brown, G",Boston Celtics,2475000
2001-2002,197,"Paul Pierce, SF",Boston Celtics,2051000
2001-2002,224,"Kedrick Brown, SG",Boston Celtics,1528000
2001-2002,225,"Roshown McLeod, F",Boston Celtics,1509000
2001-2002,271,"Joseph Forte, G",Boston Celtics,939000
2001-2002,327,"Mark Blount, C",Boston Celtics,540000
2002-2003,13,"Vin Baker, PF",Boston Celtics,12375000
